fi.gas.cons.full,fi.diesel.cons.full
281.3239606,194.6332562
291.0997358,219.7414732
276.3867196,229.9386865
276.043737,232.9184136
281.5452379,239.6967184
289.3454758,245.27435
294.9729844,252.9803026
307.412622,264.9827445
332.4418064,277.7464878
349.1397112,302.1011439
364.5015517,293.9463429
387.9645578,308.8004502
387.0503773,309.6403019
385.5405346,288.2080044
384.966894,283.6180621
360.0156086,288.3677654
366.5247538,301.2774518
360.4298532,295.0395376
346.9557366,289.585103
354.8752051,314.9906563
348.8892399,326.1862137
346.3380127,338.9814759
329.3916455,364.9388964
333.0758164,370.2769926
338.0380487,376.6874502
338.1920708,385.1898345
342.7584249,400.9049434
341.2061083,402.9663201
337.0508299,415.0947122
334.8636343,435.4550818
297.737851,432.867925
285.828221,408.32603
278.3706906,440.5826804
259.452381,442.8135773
250.453535753636,427.915855178983
254.459762147951,424.712730085022
243.785538607306,368.535598972021
241.865782349717,372.475858646872
240.935531309327,460.773985022295
