gas_totalprice,gas_totaltax,gas_vat,gas_carbontax_with_vat,gas_energytax_with_vat
6.35837207907577,3.29883282597211,0,0,0
6.99895388255248,3.47556252026524,0,0,0
8.26407025313025,4.07174414915002,0,0,0
8.8226384791014,4.10238931265276,0,0,0
9.12685018581686,3.90229283563194,0,0,0
8.85486025546693,3.62657836986149,0,0,0
8.26412826517871,3.52498362021841,0,0,0
8.50465298213005,4.24959070305876,0,0,0
7.25792719180775,4.11189221329514,0,0,2.13
7.03668018924986,4.14811457456973,0,0,2.33
7.09370978279143,4.41174791860407,0,0,2.58
7.16972471536101,4.23414809557606,0,0,2.58
8.73465809011777,5.71818863214793,1.70343393931929,0,3.65
8.38944059999092,5.67771469176964,1.67739440567716,0.725,2.9625
7.97905188167154,5.52071298975128,1.59629263997176,0.725,2.9625
9.17412798266484,6.30181661150801,1.83505584193346,0.925,3.925
8.84058414125109,6.17432256340532,1.76811682825022,0.9625,3.925
8.60673847212004,6.13195744179798,1.72134769442401,0.9875,4.025
8.98778368772216,6.40359073940813,1.79755673754443,1.075,4.2625
9.32028225900973,6.59756423465762,1.86405645180195,1.075,4.5125
9.21555754993579,6.71440989417625,1.84289354504984,1.075,4.5125
9.47907881703113,6.70196256942302,1.89624968781992,1.0625,4.475
10.6665025248041,6.94220409259754,2.13308547618298,1.075,4.5125
10.2216717050249,6.76860286383481,2.04412436418278,1.55,4.075
8.92353093977738,6.73863784085227,1.99065754121257,1.825,3.95
9.86002213639888,6.72122993774772,1.97220608434361,2.2125,3.675
10.3496905052825,6.88204694280216,2.07033991375204,2.6375,3.35
11.341,7.228,2.268,2.65,3.55
11.7353735564896,7.27011078081308,2.34707471129791,2.6625,3.575
11.4987611312906,7.18419198356382,2.30013831745702,2.7,3.625
12.1543432420117,7.36725834131916,2.43086864840233,2.925,3.6875
11.7767910705086,7.53234479043839,2.35573333087416,3.05,3.85
12.3891872497149,7.5768353331278,2.47802286130559,3.05,3.825
13.024209834717,7.55701300675975,2.6048419669434,3.05,3.825
13.7930611012324,7.80104478070993,2.75861222024647,3.1375,3.925
13.3830979914574,7.70360727668919,2.67679817055102,3.125,3.9125
13.3150594113955,7.6986911429451,2.66283298856135,3.125,3.9125
12.5490032056,7.745248716,2.510158596,3.25,4.0625
12.2778116558713,8.04726146856492,2.45556233117425,3.2375,4.65
