year,log_gas_cons,gas_excisetax_with_vat,gas_exexcise_with_vat,dummy,t,real_gdp_cap_1000,urban_pop,unemploymentrate,real_oil_price_sek,real_taxdiff,gas_energytax_with_vat,gas_carbontax_with_vat
1978,6.09163385968178,3.29883282597211,3.05953925310366,0,1,193.361668761848,82.944,2.8,199.41192234668,3.10397948806495,0,0
1979,6.08314591755879,3.47556252026524,3.52339136228724,0,2,201.697245137545,83.016,2.6,399.019935445114,3.28424715217724,0,0
1980,6.0475557529757,4.07174414915002,4.19232610398022,0,3,201.148312539058,83.087,2.5,427.104076322093,3.7268236737055,0,0
1981,6.03059013386189,4.10238931265276,4.72024916644864,0,4,195.813478948915,83.1,3.2,432.796602148835,3.48703091575485,0,0
1982,6.03721559904106,3.90229283563194,5.22455735018492,0,5,197.218787563269,83.1,4,475.569476694641,3.13289153273875,0,0
1983,6.06253237631379,3.62657836986149,5.22828188560544,0,6,202.865243759799,83.1,4.4,482.294977594555,2.79081497657369,0,0
1984,6.10055403469987,3.52498362021841,4.7391446449603,0,7,210.444378028115,83.1,3.9,465.555420171905,2.48903010072089,0,0
1985,6.10720335363993,4.24959070305876,4.25506227907128,0,8,212.720676489674,83.1,3.6,433.422519584844,3.28476946618405,0,0
1986,6.15303270671728,4.11189221329514,3.14603497851262,0,9,222.286585485954,83.1,3.4,179.986338282802,3.18627902996189,2.13,0
1987,6.18930752310993,4.14811457456973,2.88856561468013,0,10,230.145757830772,83.1,2.9,196.883914488043,2.88352741884057,2.33,0
1988,6.22140190357683,4.41174791860407,2.68196186418736,0,11,236.629142093542,83.1,2.5,145.075217119196,3.018397316973,2.58,0
1989,6.25057620604611,4.23414809557606,2.93557661978495,0,12,244.638873747628,83.1,2.2,175.316121809065,2.70150575675487,2.58,0
1990,6.18774753916274,4.9873974723977,3.74726061772007,0,13,242.606013539606,83.1,2.4,189.652173990872,2.96648765324754,3.65,0
1991,6.20112901435635,5.00003254589382,3.38940805409711,1,14,235.604407440735,83.204,3.9,149.883197403598,2.84009163168738,2.9625,0.725
1992,6.21828531078205,4.90589608516072,3.07315579651082,1,15,228.431321565216,83.361,6.5,135.656485418091,2.82727057457234,2.9625,0.725
1993,6.15791149303818,5.58362612905719,3.59050185360765,1,16,217.068869045261,83.516,10.2,152.597167420335,3.52735953556093,3.925,0.925
1994,6.16022821235515,5.50775716894387,3.33282697230721,1,17,225.05948860477,83.671,10.6,137.731640935537,2.04195518979566,3.925,0.9625
1995,6.17710123299253,5.51326218421747,3.09347628790257,1,18,235.898719719384,83.824,10,133.380310053448,2.00512258590094,4.025,0.9875
1996,6.16462980619808,5.75754250232962,3.23024118539253,1,19,240.457877106836,83.914,10.7,151.357857404078,2.14000059564024,4.2625,1.075
1997,6.14509130542662,5.91688472856959,3.40339753044014,1,20,249.89302396289,83.942,11,158.915671127629,2.27925736409836,4.5125,1.075
1998,6.11776312484423,6.0892154099354,3.12634214000039,1,21,263.234464879444,83.97,9.3,110.725439493148,2.42921922644358,4.5125,1.075
1999,6.12145479969662,6.00748485829012,3.47159395874102,1,22,275.528078878231,83.998,7.9,160.530429573807,2.37356654287756,4.475,1.0625
2000,6.10537050928541,6.0112467926734,4.65525573213071,1,23,290.162688863369,84.026,6.7,281.730896532983,1.98149018780506,4.5125,1.075
2001,6.09384624672036,5.9054464851216,4.31622521990332,1,24,293.805741840648,84.071,5.8,265.037032548097,1.75960577009262,4.075,1.55
2002,6.11564327620032,6.11128267740461,2.81224826237277,1,25,297.498884613641,84.133,6,250.171364605891,1.80669899713562,3.95,1.825
2003,6.10322555939143,5.93643158154656,3.92359055485232,1,26,302.41444876181,84.196,6.6,235.141218424911,1.88045212029695,3.675,2.2125
2004,6.07887083373554,6.01492568797663,4.33476481730591,1,27,314.072571964429,84.258,7.4,282.737886064027,1.8192069790417,3.35,2.6375
2005,6.05843549421614,6.1998633307616,5.1411366692384,1,28,322.567892160244,84.319,7.7,408.10533568,1.512,3.55,2.65
2006,6.02097842649585,6.15379508689396,5.5815784695956,1,29,336.863325941787,84.43,7.1,474.169411068163,1.4571792133615,3.575,2.6625
2007,5.99003240408054,6.1053233288909,5.39343780239967,1,30,347.988008198607,84.588,6.1,471.993604143031,1.4681117838238,3.625,2.7
2008,5.89925304578682,6.17048711614603,5.98385612586562,1,31,343.839306003594,84.746,6.2,597.215168368718,0.991943713340375,3.6875,2.925
2009,5.87876855836629,6.47102196985941,5.30576910064922,1,32,335.872129769982,84.902,8.3,442.863454499283,1.29977961647754,3.85,3.05
2010,5.79948627849557,6.37363482119839,6.01555242851652,1,33,352.915720481518,85.056,8.6,531.268664086214,1.24503729993768,3.825,3.05
2011,5.70949363124328,6.19021379977044,6.83399603494656,1,34,354.388989769578,85.297,7.8,650.217281637932,1.14980407597191,3.825,3.05
2012,5.67335787621771,6.30304070057933,7.49002040065303,1,35,349.934224511199,85.62,8,675.269883771767,1.21910847391028,3.925,3.1375
2013,5.6233702512541,6.28361618646527,7.09948180499211,1,36,354.182781086183,85.936,8,632.090867241229,0.975897398403023,3.9125,3.125
2014,5.68421968162164,6.29471697759312,7.02034243380235,1,37,367.245507044183,86.247,7.9,607.170705555841,0.99196566486884,3.9125,3.125
2015,5.57238080934242,6.54409598437868,6.00490722122132,1,38,387.957317967551,86.553,7.4,395.300870297256,0.997799228,4.0625,3.25
2016,5.50374636914172,6.98962392173833,5.28818773413293,1,39,394.345011250794,86.852,6.9,331.718282255817,0.914521950837903,4.65,3.2375
