gas_totalprice,gas_totalprice_less_vat,gas_excise_tax,gas_excisetax_with_vat,gas_carbontax,gas_energytax,gas_carbontax_with_vat,gas_energytax_with_vat,crude
1.86,1.86,0.965,0.965,0,0,0,0,58.33351225
2.195,2.195,1.09,1.09,0,0,0,0,125.13995277
2.947,2.947,1.452,1.452,0,0,0,0,152.30699575
3.527,3.527,1.64,1.64,0,0,0,0,173.01781314
3.962,3.962,1.694,1.694,0,0,0,0,206.44649888
4.185,4.185,1.714,1.714,0,0,0,0,227.94312084
4.22,4.22,1.8,1.8,0,0,0,0,237.731532
4.663,4.663,2.33,2.33,0,0,0,0,237.6404085
4.148,4.148,2.35,2.35,0,2.13,0,2.13,102.86453852
4.19,4.19,2.47,2.47,0,2.33,0,2.33,117.23477258
4.47,4.47,2.78,2.78,0,2.58,0,2.58,91.417078
4.809,4.809,2.84,2.84,0,2.58,0,2.58,117.59101824
6.466,5.205,2.972,3.6920176753122,0,2.92,0,3.65,140.3936988
6.797,5.438,3.241,4.05095200441339,0.58,2.37,0.725,2.9625,121.43313736
6.618,5.294,3.255,4.0690574234983,0.58,2.37,0.725,2.9625,112.51645356
7.969,6.375,3.88,4.85015215686275,0.74,3.14,0.925,3.925,132.55176181
7.845,6.276,3.91,4.8875,0.77,3.14,0.9625,3.925,122.2209648
7.825,6.26,4.01,5.0125,0.79,3.22,0.9875,4.025,121.265556
8.215,6.572,4.21,5.2625,0.86,3.41,1.075,4.2625,138.34387228
8.575,6.86,4.355,5.44375,0.86,3.61,1.075,4.5125,146.2082201
8.456,6.765,4.47,5.58733481152993,0.86,3.61,1.075,4.5125,101.59931304
8.738,6.99,4.43,5.53781688125894,0.85,3.58,1.0625,4.475,147.98008548
9.921,7.937,4.473,5.59110910923523,0.86,3.61,1.075,4.5125,262.0401784
9.736,7.789,4.5,5.62485556554115,1.24,3.26,1.55,4.075,252.44408384
8.683,6.746,4.62,5.94655499555292,1.46,3.16,1.825,3.95,243.428075
9.779,7.823,4.71,5.88765051770421,1.77,2.94,2.2125,3.675,233.20900736
10.303,8.242,4.79,5.98779058480951,2.11,2.68,2.6375,3.35,281.4623721
11.341,9.073,4.96,6.1998633307616,2.12,2.84,2.65,3.55,408.10533568
11.895,9.516,4.99,6.2375,2.13,2.86,2.6625,3.575,480.61913986
11.913,9.53,5.06,6.32526547743966,2.16,2.9,2.7,3.625,488.9970095
13.025,10.42,5.29,6.6125,2.34,2.95,2.925,3.6875,639.9957129
12.558,10.046,5.52,6.90027473621342,2.44,3.08,3.05,3.85,472.2406323
13.364,10.691,5.5,6.87512861285193,2.44,3.06,3.05,3.825,573.07023324
14.465,11.572,5.5,6.875,2.44,3.06,3.05,3.825,722.14691703
15.455,12.364,5.65,7.0625,2.51,3.14,3.1375,3.925,756.63378688
14.989,11.991,5.63,7.03761737970144,2.5,3.13,3.125,3.9125,707.93847696
14.886,11.909,5.63,7.0373818120749,2.5,3.13,3.125,3.9125,678.8060679
14.023,11.218,5.85,7.31276074166518,2.6,3.25,3.25,4.0625,441.73262317
13.855,11.084,6.31,7.8875,2.59,3.72,3.2375,4.65,374.33029024
