V1,V2,V3
1.5914866054267,1.56547378766132,1.61114153218316
1.5750303892999,1.55165147788165,1.56757486603164
1.61602073830498,1.58525396008476,1.61873196622143
1.73972648433213,1.6921971107905,1.73937345313031
1.82951790882271,1.784233757325,1.80488213759809
1.96280852333504,1.89649455645443,1.96264043455332
1.91362520654366,1.87284266286047,1.88710355227903
2.01733380167648,1.97325626072167,1.99472962069617
2.09143823554845,2.04859194431066,2.06696842948416
2.21173479422268,2.14740601205031,2.19777881269088
2.13194672326984,2.1178678730704,2.09727387631027
2.20314669402217,2.19367928020768,2.1379443433685
2.25218521778651,2.27871220174059,2.17344402604356
2.47538425020733,2.47011298476846,2.42138550016929
2.32239610278584,2.36464729429223,2.21693245798096
2.32095799859217,2.3786156292885,2.23500844524338
2.36693289828354,2.44475952363094,2.29820273979771
2.4641308515462,2.50947252927201,2.44302559293733
2.77316099985193,2.77999317241818,2.77258597713457
2.77747488065775,2.84123985452854,2.77458133473449
2.87826410847876,2.91596390274521,2.89400814972226
2.98520283591976,2.99916029523363,3.00062162579393
2.96954627066194,2.92260720437439,2.98380532577463
2.9655438519013,2.91065341913484,2.99600056288586
3.08496655223373,3.00836006267199,3.14605355918477
3.02662479485937,2.96854156631454,3.09221450359382
3.06217268997188,2.99320455839566,3.08610884254909
3.12687476312777,3.07505930834549,3.14546972494169
3.17348447628318,3.13921026224771,3.18749592386647
3.23332785589871,3.18113972137084,3.27214028598888
3.08746091541258,3.05468631384199,3.08300118923637
2.96420679639577,2.94285894964578,2.97031808261428
3.00144967943889,2.97337398125371,3.02756571796552
3.06807279628496,3.04460146846312,3.10502561922428
3.04706611892375,3.02531835381891,3.097315235778
3.04301186642226,3.03265103958743,3.10070714001931
3.18327348543372,3.14673966149897,3.2740053908233
3.18055988174032,3.1459991869448,3.29120634402118
3.10888296604829,3.11780389765607,3.22796229877002
3.13701982352042,3.1406132368737,3.27174581143028
3.18680465733077,3.16841210392884,3.27713077782914
3.09681747767765,3.10742338476519,3.14780683456398
3.17373001618592,3.15463216908446,3.24942123080452
3.0753769378665,3.09000419761493,3.17235411926262
3.08597012151562,3.11376762857004,3.20461694926273
3.06504672891865,3.08988216533368,3.2017396134047
