V1,V2,V3,V4,V5
1.21388162761227,1.14115099532344,1.2001341412481,1.2188704675669,1.18886331235317
1.27199236598805,1.2044112603886,1.25580686288655,1.24188736406644,1.22965485164008
1.28811866605007,1.23651142142635,1.27378205485244,1.2485169518335,1.2516487776849
1.35342970122481,1.30491534182795,1.33801215659751,1.30000161404781,1.30069706487824
1.40781446508324,1.38634008403269,1.39753739419439,1.3652528518729,1.39248639991391
1.46298253369628,1.43573160391725,1.45700222879041,1.43713164117809,1.45939874342476
1.53871996769928,1.49758877733233,1.52515243185312,1.45998733203606,1.51261835899554
1.56089123632991,1.55063449945168,1.55270413803471,1.50333547706558,1.56229677396078
1.63874199490438,1.64059491613799,1.63143077712775,1.58161121593251,1.63592377141454
1.70261089637975,1.72541096747539,1.69576580236258,1.60574834350565,1.66306995681967
1.7778539403781,1.80284388501246,1.76578151580875,1.73580867917309,1.72320812798085
1.87722486478061,1.8963303457484,1.86487263875423,1.83676885632817,1.80847681077625
1.976097901281,1.98204288641252,1.95857352020076,1.89001716921167,1.91840197948399
2.06344671552655,2.07296923523042,2.05118845663074,2.00604067493825,2.00272501085116
1.97701311138678,1.99319409053672,1.97077790416619,1.98847269214087,1.97481996885013
1.96829790123788,1.96650399053516,1.96562767889741,2.03609826141535,2.00351427465305
2.04038444694698,2.00173118834617,2.02960890765629,2.09870616282979,2.0393631717872
2.13545528924021,2.08328051186318,2.12276131418017,2.17040151818167,2.10327472096183
2.18884179734706,2.18971423707768,2.18398169045153,2.20552765331093,2.1868273332947
2.16616595923271,2.18180275324473,2.17000760344825,2.26325488046425,2.28829270064925
2.18206474509862,2.21374660303663,2.19347825420034,2.25621414667989,2.3420231458359
2.15171131247858,2.22040241248997,2.16923360906783,2.23275254925066,2.34845634265047
2.15108158254671,2.20805583221963,2.16634331926362,2.13500133124068,2.23967708632451
2.19565462555927,2.22673222598139,2.20147053661611,2.10135897567953,2.22611022929668
2.24713585250022,2.26210906168565,2.25875576317061,2.22007860653768,2.29153250110024
2.24178850530335,2.20788448155006,2.25331839360182,2.23256372361178,2.28356343336828
2.36510240003042,2.31197677982332,2.37557122485077,2.37422842998587,2.36336237203669
2.40837092487588,2.36274805435641,2.42092490314235,2.45322966041007,2.43239740557951
2.54038213474551,2.47321039983446,2.54935472189526,2.536343485911,2.54647402631506
2.58611353569093,2.5091523914101,2.60143606330222,2.64303850807544,2.5813805170833
2.5965848657713,2.56297245226016,2.60026912690703,2.56554657407329,2.54147224919475
2.54879320726192,2.51888463222131,2.55333640969704,2.53462227740913,2.47367677835875
2.57530196625439,2.5663002206541,2.58414336502189,2.57044435946032,2.51648786701537
2.57030190155074,2.52841158917951,2.58797935036118,2.66823941960456,2.52981824853728
2.64817998666392,2.60751951551095,2.66579728802286,2.75572888769547,2.60082779954351
2.60406143841168,2.55533191784,2.63095423457377,2.80555281730668,2.57725041683745
2.64325102233703,2.60511749066182,2.67684075479624,2.88642508528765,2.63019643361834
2.73271121173861,2.68025636426797,2.75641361090815,2.83316197433158,2.71301618491222
2.78666243031317,2.6718044348145,2.79766961262255,2.82497080739733,2.74103089656939
2.81130117752726,2.6813798450524,2.82556263083591,2.8991449042844,2.75685053880094
2.84547134170857,2.75691374181251,2.86487664406334,2.91172317409106,2.77985274624801
2.8572784332647,2.76494959547805,2.86977675598597,2.88390680544692,2.77844121441788
2.86679811784601,2.7643961577413,2.87799530642484,2.84422710909846,2.75257568962206
2.85172887158479,2.72198050067168,2.85848055735376,2.82604420309395,2.75328559897931
2.895109333885,2.7343309887008,2.89931706806358,2.86909987504297,2.81292228098802
2.88708690019422,2.71047982882604,2.88086404296111,2.77919028065811,2.79266398980296
