year,log_gas_cons,gas_exexcise_with_vat,gas_excisetax_with_vat,d_carbontax,t,real_gdp_cap_1000,urban_pop,unemploymentrate,real_oil_price_sek,real_taxdiff,PriceDiff
1978,5.63950688997003,0.517041729805756,0.454606502055627,0,1,15.321601290136,70.202,7.3,25.9275902265271,0.190720109767972,0.364855862164817
1979,5.67366594315927,0.544660721219386,0.429374201894616,0,2,16.4984331683136,70.97,6,51.6087700483492,0.174745314724553,0.333604691746874
1980,5.62180104298231,0.75000219659196,0.423808182672897,0,3,17.029411064546,71.727,4.7,54.6315204255872,0.167977715397223,0.377848178217967
1981,5.62055932055382,0.806101045988979,0.409993369718783,0,4,17.2304425797144,72.528,4.9,53.8809130740249,0.165166669441078,0.368701702358513
1982,5.64029313768794,0.785945931023522,0.372465678809196,0,5,17.5810191637995,73.373,5.4,52.818405693661,0.136048341051165,0.346789888953951
1983,5.66762139216234,0.754192497659843,0.379096351332896,0,6,17.9918039924114,74.202,5.5,50.9560326245485,0.150469249839112,0.333555555880567
1984,5.68688377384119,0.719639361400223,0.371315517144205,0,7,18.7126222827801,75.015,5.2,49.641126983373,0.147146706484391,0.312974147190432
1985,5.72819089076902,0.685189065579054,0.37018787235232,0,8,19.2999188322761,75.808,4.9,46.7682086041551,0.146709142031879,0.292325478536518
1986,5.80646482643255,0.530578745568966,0.304948474969656,0,9,20.1161106193287,76.567,5.2,19.4294221554771,0.149959618679899,0.250286584805566
1987,5.85547216072095,0.51082278006322,0.315659947276143,0,10,20.8106430895761,77.291,4.8,20.7191727150869,0.153977658023743,0.250341159237278
1988,5.89853080850412,0.449950107253307,0.362732563998815,0,11,22.3722020638825,78,4.2,15.1396395572451,0.147010656351877,0.235799270584198
1989,5.9609139895747,0.457413179161051,0.344831747102938,0,12,23.4117572545703,78.691,3.1,17.8136631253724,0.12494538000537,0.207104363943328
1990,5.9585548584597,0.483233909838159,0.342215355711149,0,13,23.2537725671606,79.367,3.2,19.44490151942,0.0921930348535591,0.164017841076681
1991,5.95464633559503,0.428008701668413,0.406085089475852,1,14,21.1818758841365,79.843,6.6,16.6907235211275,0.148813185014403,0.191360601171836
1992,5.95315734098008,0.342070168818067,0.444398851797831,1,15,19.966952189044,80.128,11.7,17.2837076875446,0.186132332964453,0.190326301840262
1993,5.88614738773248,0.338333030248007,0.576286775270918,1,16,19.6572013563919,80.409,16.3,19.0116385444919,0.300378342111664,0.300378342111664
1994,5.90406606011003,0.336823918983432,0.573166752891974,1,17,20.5006128231758,80.688,16.6,15.995973948082,0.239145625899698,0.267758037082523
1995,5.88729735582199,0.316375613515557,0.638835373444874,1,18,22.0035807845871,80.963,15.4,14.2386612528936,0.256449214772309,0.281576250774681
1996,5.84919721157981,0.336741072847578,0.727435135267419,1,19,22.575879705216,81.223,14.6,18.0631625516208,0.343479406595598,0.350341370323368
1997,5.87176619274295,0.33596473811666,0.718118882773298,1,20,24.1447944363128,81.466,12.7,18.7263748893714,0.283958373568909,0.284900192386716
1998,5.85475450764838,0.294380569335075,0.753514544294937,1,21,25.8201015926704,81.707,11.4,12.6871536384291,0.343663527781514,0.34292047150523
1999,5.84741521350442,0.36446765802029,0.744840173889038,1,22,26.8257934874489,81.946,10.2,18.3542674484003,0.344305940213539,0.364872481708961
2000,5.79724745464109,0.503530437265288,0.722900994778532,1,23,27.9300064508805,82.183,9.8,32.8919815785833,0.328973034518002,0.325408862963094
2001,5.80837014094287,0.463776134554303,0.704486030477867,1,24,28.795854030684,82.368,9.1,28.2117694924688,0.321246271728563,0.322279217939909
2002,5.82315845926582,0.424149776384015,0.694514253728212,1,25,29.0361627109441,82.503,9.1,27.0145159664502,0.318310764931934,0.32136166683224
2003,5.823613990891,0.404813663354311,0.722266323370762,1,26,29.3461514469211,82.638,9,25.7607544629228,0.326631409390808,0.312517706515897
2004,5.83702589844668,0.454309431494528,0.72198363707779,1,27,30.5551500012693,82.772,8.8,31.037915938956,0.32904006280851,0.3230026304634
2005,5.83248671786056,0.520813793103448,0.717186206896552,1,28,31.3922658157959,82.905,8.4,43.9129932,0.317,0.269
2006,5.82023374954237,0.588507387555806,0.706208865066967,1,29,32.3244039037209,83.037,7.7,51.1248148583608,0.317033181250595,0.2884805034361
2007,5.81372338716188,0.589387668989732,0.688985982834915,1,30,33.9734456153444,83.168,6.9,50.7715645686336,0.312149839851999,0.300624307303617
2008,5.69621340471614,0.645186947272544,0.70598990565425,1,31,33.7437467791797,83.299,6.4,61.1792782095435,0.275034632631274,0.184587001765955
2009,5.65539100449775,0.514386418196075,0.705733663476891,1,32,31.4185786907184,83.429,8.2,40.991524453117,0.296262137834359,0.304568552913827
2010,5.6289536449009,0.640448832773887,0.697651793319366,1,33,31.9968006788275,83.77,8.4,54.758715164652,0.29461929258904,0.306477035015224
2011,5.55857318287706,0.746529453015572,0.681425140252586,1,34,32.4098343760271,84.313,7.8,70.5593638066329,0.273419347691865,0.221381471840832
2012,5.52327341730683,0.785154764637618,0.687010419057916,1,35,31.8564056569256,84.841,7.7,74.5690047530475,0.182733790283886,0.146701775298331
2013,5.53914271798155,0.734651616976981,0.682251358990035,1,36,31.7584972365908,85.125,8.2,69.199411020769,0.180071798258338,0.142873868101686
2014,5.49628889866484,0.688013550650776,0.698390828941134,1,37,31.6905892637834,85.175,8.7,62.3958487787681,0.176542742362036,0.151441878519092
2015,5.48838295390942,0.568711482282332,0.709069891986381,1,38,32.3589626207934,85.225,9.4,39.5910009826402,0.183618189609481,0.192002581829092
2016,5.48452939276428,0.502417259982076,0.706491899603661,1,39,33.0644345878793,85.275,8.8,33.0210238548749,0.187978272914161,0.216383878598967
