year,log_gas_cons,real_carbontaxexclusive_with_vat,real_carbontax_with_vat,d_carbontax,t,real_gdp_cap_1000,urban_pop,unemploymentrate,real_oil_price_sek,real_energytax_with_vat,real_taxdiff
1978,6.09163385968178,6.35837207907577,0,0,1,193.361668761848,82.944,2.8,199.41192234668,0,3.10397948806495
1979,6.08314591755879,6.99895388255248,0,0,2,201.697245137545,83.016,2.6,399.019935445114,0,3.28424715217724
1980,6.0475557529757,8.26407025313025,0,0,3,201.148312539058,83.087,2.5,427.104076322093,0,3.7268236737055
1981,6.03059013386189,8.8226384791014,0,0,4,195.813478948915,83.1,3.2,432.796602148835,0,3.48703091575485
1982,6.03721559904106,9.12685018581686,0,0,5,197.218787563269,83.1,4,475.569476694641,0,3.13289153273875
1983,6.06253237631379,8.85486025546693,0,0,6,202.865243759799,83.1,4.4,482.294977594555,0,2.79081497657369
1984,6.10055403469987,8.26412826517871,0,0,7,210.444378028115,83.1,3.9,465.555420171905,0,2.48903010072089
1985,6.10720335363993,8.50465298213005,0,0,8,212.720676489674,83.1,3.6,433.422519584844,0,3.28476946618405
1986,6.15303270671728,7.25792719180775,0,0,9,222.286585485954,83.1,3.4,179.986338282802,2.13,3.18627902996189
1987,6.18930752310993,7.03668018924986,0,0,10,230.145757830772,83.1,2.9,196.883914488043,2.33,2.88352741884057
1988,6.22140190357683,7.09370978279143,0,0,11,236.629142093542,83.1,2.5,145.075217119196,2.58,3.018397316973
1989,6.25057620604611,7.16972471536101,0,0,12,244.638873747628,83.1,2.2,175.316121809065,2.58,2.70150575675487
1990,6.18774753916274,8.73465809011777,0,0,13,242.606013539606,83.1,2.4,189.652173990872,3.65,2.96648765324754
1991,6.20112901435635,7.66444059999092,0.725,1,14,235.604407440735,83.204,3.9,149.883197403598,2.9625,2.84009163168738
1992,6.21828531078205,7.25405188167154,0.725,1,15,228.431321565216,83.361,6.5,135.656485418091,2.9625,2.82727057457234
1993,6.15791149303818,8.24912798266484,0.925,1,16,217.068869045261,83.516,10.2,152.597167420335,3.925,3.52735953556093
1994,6.16022821235515,7.87808414125109,0.9625,1,17,225.05948860477,83.671,10.6,137.731640935537,3.925,2.04195518979566
1995,6.17710123299253,7.61923847212004,0.9875,1,18,235.898719719384,83.824,10,133.380310053448,4.025,2.00512258590094
1996,6.16462980619808,7.91278368772216,1.075,1,19,240.457877106836,83.914,10.7,151.357857404078,4.2625,2.14000059564024
1997,6.14509130542662,8.24528225900973,1.075,1,20,249.89302396289,83.942,11,158.915671127629,4.5125,2.27925736409836
1998,6.11776312484423,8.14055754993579,1.075,1,21,263.234464879444,83.97,9.3,110.725439493148,4.5125,2.42921922644358
1999,6.12145479969662,8.41657881703113,1.0625,1,22,275.528078878231,83.998,7.9,160.530429573807,4.475,2.37356654287756
2000,6.10537050928541,9.59150252480411,1.075,1,23,290.162688863369,84.026,6.7,281.730896532983,4.5125,1.98149018780506
2001,6.09384624672036,8.67167170502492,1.55,1,24,293.805741840648,84.071,5.8,265.037032548097,4.075,1.75960577009262
2002,6.11564327620032,7.09853093977738,1.825,1,25,297.498884613641,84.133,6,250.171364605891,3.95,1.80669899713562
2003,6.10322555939143,7.64752213639888,2.2125,1,26,302.41444876181,84.196,6.6,235.141218424911,3.675,1.88045212029695
2004,6.07887083373554,7.71219050528254,2.6375,1,27,314.072571964429,84.258,7.4,282.737886064027,3.35,1.8192069790417
2005,6.05843549421614,8.691,2.65,1,28,322.567892160244,84.319,7.7,408.10533568,3.55,1.512
2006,6.02097842649585,9.07287355648956,2.6625,1,29,336.863325941787,84.43,7.1,474.169411068163,3.575,1.4571792133615
2007,5.99003240408054,8.79876113129057,2.7,1,30,347.988008198607,84.588,6.1,471.993604143031,3.625,1.4681117838238
2008,5.89925304578682,9.22934324201166,2.925,1,31,343.839306003594,84.746,6.2,597.215168368718,3.6875,0.991943713340375
2009,5.87876855836629,8.72679107050863,3.05,1,32,335.872129769982,84.902,8.3,442.863454499283,3.85,1.29977961647754
2010,5.79948627849557,9.33918724971491,3.05,1,33,352.915720481518,85.056,8.6,531.268664086214,3.825,1.24503729993768
2011,5.70949363124328,9.974209834717,3.05,1,34,354.388989769578,85.297,7.8,650.217281637932,3.825,1.14980407597191
2012,5.67335787621771,10.6555611012324,3.1375,1,35,349.934224511199,85.62,8,675.269883771767,3.925,1.21910847391028
2013,5.6233702512541,10.2580979914574,3.125,1,36,354.182781086183,85.936,8,632.090867241229,3.9125,0.975897398403023
2014,5.68421968162164,10.1900594113955,3.125,1,37,367.245507044183,86.247,7.9,607.170705555841,3.9125,0.99196566486884
2015,5.57238080934242,9.2990032056,3.25,1,38,387.957317967551,86.553,7.4,395.300870297256,4.0625,0.997799228
2016,5.50374636914172,9.04031165587126,3.2375,1,39,394.345011250794,86.852,6.9,331.718282255817,4.65,0.914521950837903
