V1,V2,V3,V4
0.894764247405212,0.892999650148324,0.886143187476625,0.879534673631286
0.946983622705543,0.95348435107286,0.93216888193752,0.928212505433103
0.937109770870292,0.936603338291548,0.92888482650048,0.915904151837764
0.997660964344884,1.00925138687172,0.984053219302907,0.971254397494531
1.06199403143011,1.0621884541586,1.02354706247771,1.037071163177
1.1203307655894,1.12792829976788,1.0825682427796,1.09654722615702
1.16303208878307,1.17892336573459,1.09136250995001,1.12785483513745
1.17906502841103,1.18317174819482,1.15055000382673,1.14865101754218
1.23938146529011,1.23508222343174,1.23429695365524,1.21874408009241
1.27464111826723,1.2650717199757,1.29187716706013,1.2548911387053
1.29891809832336,1.27837699807706,1.33799984793234,1.29345228541547
1.41716712302369,1.40017199285811,1.41646223495675,1.41150397243739
1.49692897513182,1.48256953545259,1.4968864549739,1.48385543721476
1.56937490680981,1.55666847355707,1.58448497523418,1.55159762585876
1.59072970263301,1.54549346736625,1.52690120954538,1.59093257887613
1.61730802423201,1.55332140661941,1.55186376018214,1.634828388149
1.6642303945501,1.62899773682187,1.64496452011412,1.68563916043723
1.6932145105339,1.67424584667567,1.68061397230972,1.71015287227231
1.7021415006297,1.68687700107442,1.79492040362958,1.70955783795674
1.75092743756413,1.71902114656757,1.84866807352649,1.77363967526941
1.81416357115667,1.7834639288069,1.8730577086997,1.84050289053919
1.79462110839309,1.78094853040587,1.89127856944446,1.80300133903335
1.79676918821308,1.79360144499757,1.90781384745324,1.78880685113044
1.7885445493347,1.80737646812946,1.89494468078402,1.77499257831301
1.85171635216282,1.87000705475695,1.92601429236867,1.84917086618252
1.91096488950874,1.91791755017348,1.92482173850936,1.93518890076525
2.06391746911366,2.07287676523418,2.02501976701219,2.08831234476246
2.10065257854467,2.10027125206246,2.07268870395491,2.11989633842273
2.20939714130696,2.21459458421413,2.15097783698705,2.22869061823993
2.28933087061023,2.28194226153136,2.22911919021805,2.33117458935841
2.19875949881938,2.22752059858392,2.21851562907238,2.20170483985695
2.17413718577597,2.18431410923905,2.19450024214454,2.1942614867522
2.17682422693227,2.1723160208256,2.23571816604311,2.19920075698977
2.28498122292279,2.24894602078658,2.25766275490832,2.33367177741359
2.31097321945367,2.26742471776479,2.26094050712224,2.36695695486459
2.36647766221174,2.27495436766714,2.23921541433565,2.45507296982807
2.41050886483912,2.30960861676767,2.29522636263609,2.50123052749672
2.4144240948203,2.34392785024367,2.31105613250529,2.48507245283579
2.44027799603268,2.38997741431036,2.35252108065144,2.49794343910252
2.47959642565514,2.40416027453307,2.34065451805714,2.5511365985041
2.51961389794384,2.43716529866165,2.36884365145752,2.57061371933708
2.53447472373724,2.47095804057012,2.41447446188152,2.57418681861333
2.51092564427554,2.45295447247483,2.41159089164386,2.53714845657828
2.47827029140781,2.4161368692785,2.40248515204903,2.50567731675366
2.5171974913983,2.45632617821986,2.42565026128319,2.5460827795575
2.42285235150413,2.39879198516036,2.37670756969856,2.43517582491197
