year,Norway,synthNorway,excl_Belgium,excl_Japan,excl_NewZealand
1960,1.01517409304566,1.63640709444782,1.5914866054267,1.56547378766132,1.61114153218316
1961,1.08339709618131,1.66413273537255,1.5750303892999,1.55165147788165,1.56757486603164
1962,1.14151292793022,1.653198692208,1.61602073830498,1.58525396008476,1.61873196622143
1963,1.17247833948927,1.65446757953951,1.73972648433213,1.6921971107905,1.73937345313031
1964,1.29693218608401,1.80301588219863,1.82951790882271,1.784233757325,1.80488213759809
1965,1.29421926300733,1.89519937412329,1.96280852333504,1.89649455645443,1.96264043455332
1966,1.50500331850272,1.94441490160708,1.91362520654366,1.87284266286047,1.88710355227903
1967,1.51748525193445,1.97969837141816,2.01733380167648,1.97325626072167,1.99472962069617
1968,1.64387140996651,2.06550663844436,2.09143823554845,2.04859194431066,2.06696842948416
1969,1.64290820547758,2.04011946658685,2.21173479422268,2.14740601205031,2.19777881269088
1970,2.0348198146291,2.09532037071865,2.13194672326984,2.1178678730704,2.09727387631027
1971,2.0702272962256,2.21865628484676,2.20314669402217,2.19367928020768,2.1379443433685
1972,2.22084284425058,2.33693258543172,2.25218521778651,2.27871220174059,2.17344402604356
1973,2.2269559002463,2.41521348115692,2.47538425020733,2.47011298476846,2.42138550016929
1974,2.08892973135346,2.49903512974137,2.32239610278584,2.36464729429223,2.21693245798096
1975,2.50696514055804,2.6469893585814,2.32095799859217,2.3786156292885,2.23500844524338
1976,2.18109396729063,2.6031217778211,2.36693289828354,2.44475952363094,2.29820273979771
1977,2.39385430556129,2.63958753599422,2.4641308515462,2.50947252927201,2.44302559293733
1978,2.68124492746991,2.61150727631908,2.77316099985193,2.77999317241818,2.77258597713457
1979,2.7219247912444,2.77300918461667,2.77747488065775,2.84123985452854,2.77458133473449
1980,2.90392104946252,2.83209592713868,2.87826410847876,2.91596390274521,2.89400814972226
1981,3.15285570410261,2.74576001006088,2.98520283591976,2.99916029523363,3.00062162579393
1982,3.39667828644593,2.59812620688494,2.96954627066194,2.92260720437439,2.98380532577463
1983,3.16417621810388,2.51734144327718,2.9655438519013,2.91065341913484,2.99600056288586
1984,3.46026764132857,2.6632487413456,3.08496655223373,3.00836006267199,3.14605355918477
1985,3.43410260362494,2.81856618405097,3.02662479485937,2.96854156631454,3.09221450359382
1986,3.82130143723978,3.03329943828049,3.06217268997188,2.99320455839566,3.08610884254909
1987,3.59702379954817,3.11905458447971,3.12687476312777,3.07505930834549,3.14546972494169
1988,3.77404052370957,3.24735030607886,3.17348447628318,3.13921026224771,3.18749592386647
1989,4.55388812465576,3.34923846160599,3.23332785589871,3.18113972137084,3.27214028598888
1990,2.71355991463319,3.01455117244592,3.08746091541258,3.05468631384199,3.08300118923637
1991,2.94382901189113,2.91421144298314,2.96420679639577,2.94285894964578,2.97031808261428
1992,2.69196945445028,2.96415068891355,3.00144967943889,2.97337398125371,3.02756571796552
1993,2.93787516060174,3.16356395458238,3.06807279628496,3.04460146846312,3.10502561922428
1994,2.6393872128798,3.27426547954804,3.04706611892375,3.02531835381891,3.097315235778
1995,2.81433476721747,3.39511857799668,3.04301186642226,3.03265103958743,3.10070714001931
1996,2.83345284193394,3.43552516532229,3.18327348543372,3.14673966149897,3.2740053908233
1997,2.94079626102509,3.46203486349473,3.18055988174032,3.1459991869448,3.29120634402118
1998,3.02124398435553,3.48193608793184,3.10888296604829,3.11780389765607,3.22796229877002
1999,3.15597944888606,3.59625476038585,3.13701982352042,3.1406132368737,3.27174581143028
2000,3.34012830944701,3.60236187066566,3.18680465733077,3.16841210392884,3.27713077782914
2001,3.46210477006925,3.52783241538014,3.09681747767765,3.10742338476519,3.14780683456398
2002,3.16064111853422,3.47878626894449,3.17373001618592,3.15463216908446,3.24942123080452
2003,3.56869044318084,3.51087239799088,3.0753769378665,3.09000419761493,3.17235411926262
2004,3.39600726043613,3.63522577819077,3.08597012151562,3.11376762857004,3.20461694926273
2005,3.47846811307413,3.50896831819791,3.06504672891865,3.08988216533368,3.2017396134047
