year,Sweden,synthSweden,excl_Japan,excl_NewZealand,excl_Poland,excl_Switzerland,excl_UnitedStates
1960,1.09079820750048,1.15226894310205,1.21388162761227,1.14115099532344,1.2001341412481,1.2188704675669,1.18886331235317
1961,1.19663895667464,1.21425716389893,1.27199236598805,1.2044112603886,1.25580686288655,1.24188736406644,1.22965485164008
1962,1.20940545658257,1.23720187437828,1.28811866605007,1.23651142142635,1.27378205485244,1.2485169518335,1.2516487776849
1963,1.26322044578265,1.28720588491608,1.35342970122481,1.30491534182795,1.33801215659751,1.30000161404781,1.30069706487824
1964,1.42846511516256,1.37463485389165,1.40781446508324,1.38634008403269,1.39753739419439,1.3652528518729,1.39248639991391
1965,1.41498655230323,1.4142964278964,1.46298253369628,1.43573160391725,1.45700222879041,1.43713164117809,1.45939874342476
1966,1.54462354054182,1.47233391509064,1.53871996769928,1.49758877733233,1.52515243185312,1.45998733203606,1.51261835899554
1967,1.5144796103478,1.52114587368928,1.56089123632991,1.55063449945168,1.55270413803471,1.50333547706558,1.56229677396078
1968,1.63499869107664,1.62882184583574,1.63874199490438,1.64059491613799,1.63143077712775,1.58161121593251,1.63592377141454
1969,1.70950038818416,1.70446277451916,1.70261089637975,1.72541096747539,1.69576580236258,1.60574834350565,1.66306995681967
1970,1.80552424104523,1.82244426214196,1.7778539403781,1.80284388501246,1.76578151580875,1.73580867917309,1.72320812798085
1971,1.76382371185518,1.92455920589466,1.87722486478061,1.8963303457484,1.86487263875423,1.83676885632817,1.80847681077625
1972,1.79813152330988,2.00511544576868,1.976097901281,1.98204288641252,1.95857352020076,1.89001716921167,1.91840197948399
1973,1.93468490796843,2.07160128998079,2.06344671552655,2.07296923523042,2.05118845663074,2.00604067493825,2.00272501085116
1974,1.91378858082015,2.05114980383773,1.97701311138678,1.99319409053672,1.97077790416619,1.98847269214087,1.97481996885013
1975,1.92669494729435,2.0662152797895,1.96829790123788,1.96650399053516,1.96562767889741,2.03609826141535,2.00351427465305
1976,2.0674376256616,2.09551821638233,2.04038444694698,2.00173118834617,2.02960890765629,2.09870616282979,2.0393631717872
1977,2.15449829337472,2.15879896424023,2.13545528924021,2.08328051186318,2.12276131418017,2.17040151818167,2.10327472096183
1978,2.18732797700968,2.20458529262579,2.18884179734706,2.18971423707768,2.18398169045153,2.20552765331093,2.1868273332947
1979,2.21759155810863,2.21872818700326,2.16616595923271,2.18180275324473,2.17000760344825,2.26325488046425,2.28829270064925
1980,1.97173771744332,2.24302243595611,2.18206474509862,2.21374660303663,2.19347825420034,2.25621414667989,2.3420231458359
1981,2.06564869988295,2.18556155819223,2.15171131247858,2.22040241248997,2.16923360906783,2.23275254925066,2.34845634265047
1982,2.03947647067265,2.14405344143805,2.15108158254671,2.20805583221963,2.16634331926362,2.13500133124068,2.23967708632451
1983,2.13993412702092,2.15157753057468,2.19565462555927,2.22673222598139,2.20147053661611,2.10135897567953,2.22611022929668
1984,2.24194186645551,2.20396119888007,2.24713585250022,2.26210906168565,2.25875576317061,2.22007860653768,2.29153250110024
1985,2.32595627346891,2.22236405448775,2.24178850530335,2.20788448155006,2.25331839360182,2.23256372361178,2.28356343336828
1986,2.40052113071844,2.35221644303792,2.36510240003042,2.31197677982332,2.37557122485077,2.37422842998587,2.36336237203669
1987,2.41365831093507,2.3944174332614,2.40837092487588,2.36274805435641,2.42092490314235,2.45322966041007,2.43239740557951
1988,2.54569614773148,2.5145294882725,2.54038213474551,2.47321039983446,2.54935472189526,2.536343485911,2.54647402631506
1989,2.64299285448931,2.59101290603316,2.58611353569093,2.5091523914101,2.60143606330222,2.64303850807544,2.5813805170833
1990,2.31419441298799,2.55499957126355,2.5965848657713,2.56297245226016,2.60026912690703,2.56554657407329,2.54147224919475
1991,2.20333781210616,2.54637806678064,2.54879320726192,2.51888463222131,2.55333640969704,2.53462227740913,2.47367677835875
1992,2.15196740198411,2.59273145858511,2.57530196625439,2.5663002206541,2.58414336502189,2.57044435946032,2.51648786701537
1993,2.0819929206787,2.62085091658635,2.57030190155074,2.52841158917951,2.58797935036118,2.66823941960456,2.52981824853728
1994,2.19508665155034,2.72375478115867,2.64817998666392,2.60751951551095,2.66579728802286,2.75572888769547,2.60082779954351
1995,2.23287058778766,2.75100978449899,2.60406143841168,2.55533191784,2.63095423457377,2.80555281730668,2.57725041683745
1996,2.03605434164104,2.79161074075871,2.64325102233703,2.60511749066182,2.67684075479624,2.88642508528765,2.63019643361834
1997,2.13024089765984,2.82740183949681,2.73271121173861,2.68025636426797,2.75641361090815,2.83316197433158,2.71301618491222
1998,2.15731831704146,2.80882166509328,2.78666243031317,2.6718044348145,2.79766961262255,2.82497080739733,2.74103089656939
1999,2.16658124118285,2.86058798125481,2.81130117752726,2.6813798450524,2.82556263083591,2.8991449042844,2.75685053880094
2000,2.27013935072984,2.8994708266574,2.84547134170857,2.75691374181251,2.86487664406334,2.91172317409106,2.77985274624801
2001,2.37521272786442,2.88863372725826,2.8572784332647,2.76494959547805,2.86977675598597,2.88390680544692,2.77844121441788
2002,2.60517315699562,2.85663939990557,2.86679811784601,2.7643961577413,2.87799530642484,2.84422710909846,2.75257568962206
2003,2.45151555537671,2.82653276900761,2.85172887158479,2.72198050067168,2.85848055735376,2.82604420309395,2.75328559897931
2004,2.55520750723057,2.8513085040551,2.895109333885,2.7343309887008,2.89931706806358,2.86909987504297,2.81292228098802
2005,2.60680639246207,2.78468145107243,2.88708690019422,2.71047982882604,2.88086404296111,2.77919028065811,2.79266398980296
